<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.08.19	03:30:00	2502.62	2502.69	2501.11	2501.83	633	0	13
2024.08.19	03:35:00	2501.84	2503.01	2501.41	2501.77	688	0	13
2024.08.19	03:40:00	2501.78	2501.90	2500.36	2501.54	714	0	13
2024.08.19	03:45:00	2501.56	2501.96	2501.18	2501.78	569	0	13
2024.08.19	03:50:00	2501.77	2503.38	2501.75	2502.12	1025	0	13
2024.08.19	03:55:00	2502.13	2502.98	2501.94	2502.12	852	0	16
2024.08.19	04:00:00	2502.08	2506.03	2500.43	2501.06	2400	0	18
2024.08.19	04:05:00	2501.03	2501.19	2497.16	2498.60	2497	0	16
2024.08.19	04:10:00	2498.61	2499.90	2496.63	2497.27	2019	0	16
2024.08.19	04:15:00	2497.25	2498.91	2496.51	2497.07	1582	0	13
2024.08.19	04:20:00	2497.05	2498.28	2495.31	2496.45	1449	0	14
2024.08.19	04:25:00	2496.47	2498.40	2495.00	2498.17	1701	0	13
2024.08.19	04:30:00	2498.18	2499.59	2497.06	2499.21	1614	0	13
2024.08.19	04:35:00	2499.22	2501.56	2498.03	2501.46	1562	0	13
2024.08.19	04:40:00	2501.45	2501.91	2499.58	2500.23	1445	0	13
2024.08.19	04:45:00	2500.24	2501.48	2499.73	2500.58	1439	0	13
2024.08.19	04:50:00	2500.59	2501.15	2497.72	2498.07	1580	0	13
2024.08.19	04:55:00	2498.08	2498.79	2496.75	2498.20	1846	0	18
2024.08.19	05:00:00	2498.20	2498.23	2496.17	2496.87	1221	0	13
2024.08.19	05:05:00	2496.86	2499.67	2496.63	2499.67	905	0	13
2024.08.19	05:10:00	2499.66	2500.11	2498.92	2499.22	990	0	14
2024.08.19	05:15:00	2499.19	2499.65	2498.82	2498.86	510	0	13
2024.08.19	05:20:00	2498.85	2500.00	2498.84	2499.63	491	0	14
2024.08.19	05:25:00	2499.62	2499.63	2498.55	2498.86	519	0	14
2024.08.19	05:30:00	2498.83	2500.09	2497.37	2499.48	1026	0	15
2024.08.19	05:35:00	2499.47	2501.53	2499.26	2501.04	1301	0	16
2024.08.19	05:40:00	2501.05	2501.79	2499.76	2500.65	1064	0	13
2024.08.19	05:45:00	2500.64	2501.13	2500.03	2501.06	1133	0	13
2024.08.19	05:50:00	2501.05	2503.34	2501.04	2503.24	1139	0	13
2024.08.19	05:55:00	2503.24	2503.99	2502.83	2503.56	1115	0	13
2024.08.19	06:00:00	2503.55	2505.83	2503.00	2504.99	1183	0	13
2024.08.19	06:05:00	2504.98	2505.31	2504.07	2504.83	1230	0	13
2024.08.19	06:10:00	2504.84	2505.15	2502.43	2502.61	1171	0	13
2024.08.19	06:15:00	2502.59	2504.11	2502.49	2503.50	1171	0	13
2024.08.19	06:20:00	2503.33	2503.33	2500.57	2502.22	1762	0	18
2024.08.19	06:25:00	2502.21	2503.30	2501.84	2501.85	958	0	13
2024.08.19	06:30:00	2501.78	2503.23	2501.65	2503.07	751	0	13
2024.08.19	06:35:00	2503.07	2503.94	2503.04	2503.65	906	0	14
2024.08.19	06:40:00	2503.65	2504.34	2502.99	2502.99	899	0	14
2024.08.19	06:45:00	2502.98	2503.22	2502.54	2502.90	573	0	13
2024.08.19	06:50:00	2502.90	2503.15	2502.33	2502.97	443	0	13
2024.08.19	06:55:00	2502.98	2503.71	2502.95	2503.31	572	0	14
2024.08.19	07:00:00	2503.31	2503.75	2503.03	2503.32	383	0	14
2024.08.19	07:05:00	2503.32	2504.04	2502.96	2503.71	504	0	14
2024.08.19	07:10:00	2503.60	2504.71	2502.96	2502.98	927	0	16
2024.08.19	07:15:00	2502.98	2502.98	2501.89	2502.00	464	0	13
2024.08.19	07:20:00	2502.01	2502.22	2499.58	2499.98	696	0	13
2024.08.19	07:25:00	2499.99	2500.53	2499.74	2500.17	537	0	13
2024.08.19	07:30:00	2500.11	2502.58	2500.07	2502.58	634	0	14
2024.08.19	07:35:00	2502.57	2503.15	2501.93	2502.43	712	0	13
2024.08.19	07:40:00	2502.41	2502.50	2500.27	2500.47	688	0	14
2024.08.19	07:45:00	2500.46	2500.94	2499.69	2500.68	662	0	13
2024.08.19	07:50:00	2500.68	2500.73	2498.97	2499.31	689	0	13
2024.08.19	07:55:00	2499.39	2500.70	2498.83	2500.69	951	0	13
2024.08.19	08:00:00	2500.68	2501.19	2500.32	2500.99	664	0	13
2024.08.19	08:05:00	2501.00	2501.11	2499.13	2500.54	876	0	13
2024.08.19	08:10:00	2500.50	2500.50	2499.75	2500.08	612	0	13
2024.08.19	08:15:00	2500.07	2500.88	2499.76	2500.79	522	0	13
2024.08.19	08:20:00	2500.80	2501.08	2500.23	2500.35	725	0	13
2024.08.19	08:25:00	2500.37	2501.60	2500.26	2501.03	624	0	13
2024.08.19	08:30:00	2501.07	2502.11	2500.10	2501.24	1513	0	15
2024.08.19	08:35:00	2501.25	2502.42	2500.39	2501.67	1425	0	17
2024.08.19	08:40:00	2501.68	2502.11	2500.85	2501.16	1306	0	13
2024.08.19	08:45:00	2501.17	2502.37	2500.85	2501.24	1130	0	13
2024.08.19	08:50:00	2501.25	2501.85	2500.34	2501.04	1062	0	15
2024.08.19	08:55:00	2501.05	2502.00	2500.82	2501.12	1183	0	13
2024.08.19	09:00:00	2501.11	2501.43	2499.81	2501.14	1156	0	12
2024.08.19	09:05:00	2501.14	2504.30	2500.96	2503.99	1575	0	12
2024.08.19	09:10:00	2504.00	2504.68	2503.70	2503.95	1466	0	10
2024.08.19	09:15:00	2503.96	2503.97	2501.44	2501.51	1325	0	10
2024.08.19	09:20:00	2501.52	2502.43	2499.70	2502.23	1407	0	11
2024.08.19	09:25:00	2502.23	2504.30	2501.53	2504.29	1370	0	10
2024.08.19	09:30:00	2504.28	2504.31	2502.79	2503.71	928	0	10
2024.08.19	09:35:00	2503.71	2505.09	2502.78	2504.61	781	0	10
2024.08.19	09:40:00	2504.57	2505.18	2504.23	2504.42	1036	0	10
2024.08.19	09:45:00	2504.37	2504.62	2502.83	2503.59	958	0	10
2024.08.19	09:50:00	2503.60	2503.79	2501.25	2502.47	1091	0	13
2024.08.19	09:55:00	2502.42	2503.09	2502.11	2502.13	1018	0	10
2024.08.19	10:00:00	2502.15	2504.49	2502.15	2504.49	953	0	10
2024.08.19	10:05:00	2504.50	2504.53	2502.86	2503.86	915	0	10
2024.08.19	10:10:00	2503.89	2504.96	2503.00	2504.33	798	0	10
2024.08.19	10:15:00	2504.33	2504.74	2503.75	2503.81	621	0	10
2024.08.19	10:20:00	2503.78	2503.94	2502.63	2503.44	654	0	10
2024.08.19	10:25:00	2503.45	2503.82	2502.71	2503.78	835	0	12
2024.08.19	10:30:00	2503.78	2503.88	2499.73	2500.21	1106	0	13
2024.08.19	10:35:00	2500.23	2502.13	2500.04	2501.64	911	0	16
2024.08.19	10:40:00	2501.57	2502.76	2501.07	2501.31	842	0	12
2024.08.19	10:45:00	2501.26	2503.07	2500.86	2502.61	861	0	10
2024.08.19	10:50:00	2502.57	2503.40	2502.35	2503.09	658	0	10
2024.08.19	10:55:00	2503.06	2503.99	2502.63	2503.08	771	0	10
2024.08.19	11:00:00	2503.04	2504.23	2502.76	2503.64	1037	0	11
2024.08.19	11:05:00	2503.66	2504.54	2503.38	2503.79	918	0	12
2024.08.19	11:10:00	2503.80	2505.25	2503.20	2504.83	820	0	11
2024.08.19	11:15:00	2504.84	2506.05	2504.81	2505.20	874	0	11
2024.08.19	11:20:00	2505.20	2506.39	2505.10	2506.34	722	0	10
2024.08.19	11:25:00	2506.33	2506.86	2505.85	2506.08	652	0	10
2024.08.19	11:30:00	2506.07	2506.51	2505.41	2506.45	764	0	10
2024.08.19	11:35:00	2506.46	2507.16	2504.87	2504.90	953	0	10
2024.08.19	11:40:00	2504.89	2505.29	2504.01	2504.42	815	0	15
2024.08.19	11:45:00	2504.43	2504.59	2502.50	2502.74	691	0	10
2024.08.19	11:50:00	2502.71	2503.30	2502.35	2503.02	634	0	10
2024.08.19	11:55:00	2503.01	2503.67	2502.92	2503.16	647	0	10
2024.08.19	12:00:00	2503.17	2504.01	2503.10	2503.32	576	0	10
2024.08.19	12:05:00	2503.33	2503.42	2502.22	2502.39	558	0	10
2024.08.19	12:10:00	2502.39	2502.58	2501.53	2502.33	625	0	10
2024.08.19	12:15:00	2502.33	2502.66	2501.93	2502.66	523	0	10
2024.08.19	12:20:00	2502.67	2503.19	2502.21	2502.36	640	0	10
2024.08.19	12:25:00	2502.34	2502.59	2501.82	2502.22	592	0	10
2024.08.19	12:30:00	2502.23	2502.52	2500.36	2501.49	769	0	10
2024.08.19	12:35:00	2501.51	2501.64	2500.11	2500.91	579	0	10
2024.08.19	12:40:00	2500.92	2501.50	2500.61	2501.36	458	0	10
2024.08.19	12:45:00	2501.35	2501.46	2500.36	2500.87	430	0	10
2024.08.19	12:50:00	2500.89	2501.34	2500.79	2501.14	531	0	10
2024.08.19	12:55:00	2501.14	2501.21	2499.81	2499.91	552	0	10
2024.08.19	13:00:00	2499.90	2500.09	2498.40	2499.68	773	0	17
2024.08.19	13:05:00	2499.76	2499.77	2497.23	2498.23	778	0	18
2024.08.19	13:10:00	2498.22	2498.33	2496.17	2496.49	784	0	18
2024.08.19	13:15:00	2496.48	2497.04	2495.68	2496.14	693	0	14
2024.08.19	13:20:00	2496.15	2496.24	2493.13	2494.69	952	0	14
2024.08.19	13:25:00	2494.69	2495.85	2494.42	2495.79	836	0	13
2024.08.19	13:30:00	2495.80	2495.80	2494.32	2494.34	563	0	11
2024.08.19	13:35:00	2494.25	2494.32	2492.51	2492.69	673	0	12
2024.08.19	13:40:00	2492.69	2493.14	2491.27	2491.27	801	0	14
2024.08.19	13:45:00	2491.28	2492.71	2491.02	2492.66	682	0	11
2024.08.19	13:50:00	2492.67	2492.94	2490.80	2490.94	815	0	10
2024.08.19	13:55:00	2490.93	2491.04	2489.54	2489.81	917	0	12
2024.08.19	14:00:00	2489.79	2490.40	2488.99	2489.99	1097	0	10
2024.08.19	14:05:00	2489.98	2490.36	2488.17	2488.53	737	0	10
2024.08.19	14:10:00	2488.51	2491.32	2488.46	2491.08	864	0	9
2024.08.19	14:15:00	2491.23	2492.25	2489.08	2489.11	1140	0	12
2024.08.19	14:20:00	2488.98	2488.98	2486.55	2488.23	984	0	12
2024.08.19	14:25:00	2488.24	2488.59	2487.32	2488.38	901	0	9
2024.08.19	14:30:00	2488.36	2489.00	2487.22	2488.75	918	0	9
2024.08.19	14:35:00	2488.73	2490.81	2488.13	2490.53	936	0	9
2024.08.19	14:40:00	2490.54	2492.13	2490.54	2491.47	744	0	9
2024.08.19	14:45:00	2491.55	2493.83	2491.09	2493.31	731	0	9
2024.08.19	14:50:00	2493.33	2494.11	2492.57	2493.82	764	0	9
2024.08.19	14:55:00	2493.81	2495.22	2493.75	2494.52	709	0	9
2024.08.19	15:00:00	2494.53	2494.89	2494.07	2494.56	1158	0	9
2024.08.19	15:05:00	2494.57	2495.22	2494.14	2494.15	1015	0	9
2024.08.19	15:10:00	2494.17	2494.43	2492.17	2493.61	1085	0	9
2024.08.19	15:15:00	2493.62	2495.48	2493.61	2494.49	764	0	9
2024.08.19	15:20:00	2494.48	2495.44	2493.82	2494.69	1021	0	9
2024.08.19	15:25:00	2494.59	2494.87	2492.22	2492.48	1017	0	9
2024.08.19	15:30:00	2492.50	2493.39	2491.82	2492.03	1158	0	9
2024.08.19	15:35:00	2492.05	2493.19	2491.43	2492.89	1181	0	9
2024.08.19	15:40:00	2492.92	2493.05	2491.20	2491.41	1040	0	9
2024.08.19	15:45:00	2491.40	2493.02	2490.68	2492.54	956	0	9
2024.08.19	15:50:00	2492.42	2492.87	2488.76	2489.95	980	0	9
2024.08.19	15:55:00	2489.96	2491.41	2489.83	2491.17	828	0	9
2024.08.19	16:00:00	2491.18	2492.14	2488.89	2489.33	1683	0	14
2024.08.19	16:05:00	2489.31	2491.03	2487.50	2490.12	1574	0	12
2024.08.19	16:10:00	2490.14	2491.78	2489.74	2490.30	1426	0	11
2024.08.19	16:15:00	2490.29	2492.39	2489.55	2491.44	1509	0	11
2024.08.19	16:20:00	2491.53	2491.55	2489.64	2490.94	1306	0	12
2024.08.19	16:25:00	2490.94	2491.36	2488.22	2490.04	1312	0	9
2024.08.19	16:30:00	2490.04	2493.43	2489.44	2493.27	1698	0	11
2024.08.19	16:35:00	2493.27	2493.47	2485.64	2486.84	2167	0	11
2024.08.19	16:40:00	2486.85	2490.02	2486.50	2489.57	1751	0	10
2024.08.19	16:45:00	2489.56	2491.05	2488.18	2490.91	1390	0	9
2024.08.19	16:50:00	2490.90	2495.09	2490.71	2495.09	1625	0	9
2024.08.19	16:55:00	2495.13	2495.88	2493.71	2494.86	1412	0	9
2024.08.19	17:00:00	2494.84	2497.90	2494.40	2497.82	1996	0	10
2024.08.19	17:05:00	2497.82	2499.67	2497.07	2498.60	2140	0	11
2024.08.19	17:10:00	2498.68	2498.91	2496.13	2497.53	1866	0	9
2024.08.19	17:15:00	2497.52	2497.92	2495.56	2496.10	1535	0	15
2024.08.19	17:20:00	2496.09	2497.08	2493.92	2496.47	1448	0	14
2024.08.19	17:25:00	2496.46	2499.16	2496.23	2499.15	1416	0	9
2024.08.19	17:30:00	2499.16	2502.55	2498.20	2502.51	1842	0	9
2024.08.19	17:35:00	2502.51	2503.69	2501.69	2503.19	1602	0	11
2024.08.19	17:40:00	2503.18	2504.81	2501.79	2502.69	1584	0	9
2024.08.19	17:45:00	2502.68	2504.21	2501.36	2503.87	1610	0	9
2024.08.19	17:50:00	2503.86	2504.40	2502.37	2503.05	1717	0	13
2024.08.19	17:55:00	2503.06	2503.45	2500.92	2501.24	1387	0	9
2024.08.19	18:00:00	2501.25	2502.97	2499.94	2502.26	1525	0	11
2024.08.19	18:05:00	2502.27	2503.56	2502.14	2503.56	1302	0	9
2024.08.19	18:10:00	2503.79	2504.69	2503.31	2503.76	1293	0	9
2024.08.19	18:15:00	2503.75	2504.33	2502.76	2503.99	1221	0	9
2024.08.19	18:20:00	2504.03	2504.29	2503.57	2503.97	1180	0	9
2024.08.19	18:25:00	2503.97	2505.95	2503.59	2504.47	1355	0	9
2024.08.19	18:30:00	2504.49	2504.56	2502.27	2503.96	960	0	13
2024.08.19	18:35:00	2503.96	2504.18	2501.06	2502.00	907	0	12
2024.08.19	18:40:00	2502.01	2502.10	2500.02	2501.65	975	0	11
2024.08.19	18:45:00	2501.65	2502.96	2501.25	2502.96	741	0	9
2024.08.19	18:50:00	2502.98	2504.06	2502.74	2503.80	703	0	9
2024.08.19	18:55:00	2503.77	2504.36	2503.08	2504.03	784	0	9
2024.08.19	19:00:00	2504.04	2505.33	2503.27	2505.05	982	0	10
2024.08.19	19:05:00	2505.03	2505.14	2504.09	2504.11	619	0	12
2024.08.19	19:10:00	2504.13	2505.89	2503.80	2505.22	673	0	13
2024.08.19	19:15:00	2505.21	2505.49	2502.68	2502.81	705	0	15
2024.08.19	19:20:00	2502.75	2503.32	2501.93	2503.03	762	0	12
2024.08.19	19:25:00	2503.02	2504.65	2502.90	2503.67	731	0	11
2024.08.19	19:30:00	2503.67	2505.89	2503.27	2505.73	902	0	11
2024.08.19	19:35:00	2505.76	2506.10	2504.94	2506.10	572	0	11
2024.08.19	19:40:00	2506.15	2507.50	2506.06	2506.86	889	0	11
2024.08.19	19:45:00	2506.87	2507.23	2506.00	2507.21	664	0	11
2024.08.19	19:50:00	2507.20	2507.40	2505.31	2505.79	678	0	11
2024.08.19	19:55:00	2505.78	2506.47	2505.35	2505.53	568	0	11
2024.08.19	20:00:00	2505.54	2505.86	2504.31	2505.34	584	0	11
2024.08.19	20:05:00	2505.38	2505.54	2503.59	2503.59	418	0	11
2024.08.19	20:10:00	2503.65	2504.11	2503.21	2503.79	556	0	11
2024.08.19	20:15:00	2503.77	2504.86	2503.56	2504.33	506	0	11
2024.08.19	20:20:00	2504.33	2505.30	2503.13	2503.21	544	0	11
2024.08.19	20:25:00	2503.23	2503.79	2502.31	2502.63	1051	0	14
2024.08.19	20:30:00	2502.62	2502.87	2500.76	2501.15	954	0	11
2024.08.19	20:35:00	2501.15	2502.29	2501.12	2501.91	517	0	11
2024.08.19	20:40:00	2501.92	2503.56	2501.70	2503.47	448	0	11
2024.08.19	20:45:00	2503.48	2504.11	2503.03	2503.24	489	0	11
2024.08.19	20:50:00	2503.24	2503.70	2502.46	2503.08	460	0	11
2024.08.19	20:55:00	2503.07	2503.96	2502.82	2503.18	525	0	11
2024.08.19	21:00:00	2503.16	2504.46	2503.16	2503.49	383	0	11
2024.08.19	21:05:00	2503.47	2503.96	2503.19	2503.78	384	0	11
2024.08.19	21:10:00	2503.79	2504.34	2503.52	2503.79	334	0	11
2024.08.19	21:15:00	2503.79	2504.02	2502.71	2503.55	395	0	11
2024.08.19	21:20:00	2503.63	2504.09	2503.33	2503.62	464	0	11
2024.08.19	21:25:00	2503.53	2503.77	2502.51	2503.18	375	0	11
2024.08.19	21:30:00	2503.19	2504.30	2503.07	2504.08	330	0	11
2024.08.19	21:35:00	2504.09	2504.61	2503.75	2504.06	365	0	11
2024.08.19	21:40:00	2504.04	2504.58	2503.88	2504.53	342	0	11
2024.08.19	21:45:00	2504.56	2504.72	2504.16	2504.23	234	0	11
2024.08.19	21:50:00	2504.22	2504.68	2503.91	2504.51	315	0	11
2024.08.19	21:55:00	2504.52	2504.88	2504.23	2504.27	394	0	11
2024.08.19	22:00:00	2504.26	2505.21	2503.97	2504.83	467	0	13
2024.08.19	22:05:00	2504.81	2505.20	2504.49	2504.73	406	0	11
2024.08.19	22:10:00	2504.72	2504.74	2503.09	2503.88	368	0	11
2024.08.19	22:15:00	2503.89	2505.09	2503.45	2505.04	344	0	11
2024.08.19	22:20:00	2505.08	2505.27	2504.53	2505.16	305	0	11
2024.08.19	22:25:00	2505.16	2505.22	2504.59	2504.73	282	0	11
2024.08.19	22:30:00	2504.69	2505.03	2504.50	2504.92	239	0	11
2024.08.19	22:35:00	2504.91	2504.93	2504.12	2504.33	305	0	11
2024.08.19	22:40:00	2504.33	2504.35	2503.72	2504.19	238	0	11
2024.08.19	22:45:00	2504.20	2504.95	2504.11	2504.79	358	0	11
2024.08.19	22:50:00	2504.79	2505.17	2504.45	2504.93	348	0	11
2024.08.19	22:55:00	2504.92	2505.81	2504.61	2505.48	468	0	11
2024.08.19	23:00:00	2505.49	2505.62	2504.81	2505.10	371	0	11
2024.08.19	23:05:00	2505.09	2505.45	2504.75	2504.77	247	0	11
2024.08.19	23:10:00	2504.78	2504.83	2503.60	2503.65	241	0	11
2024.08.19	23:15:00	2503.66	2504.32	2503.66	2504.12	169	0	11
2024.08.19	23:20:00	2504.13	2504.49	2504.13	2504.29	70	0	11
2024.08.19	23:25:00	2504.29	2504.29	2503.92	2504.23	98	0	11
2024.08.19	23:30:00	2504.13	2504.53	2503.92	2504.35	113	0	11
2024.08.19	23:35:00	2504.32	2504.54	2503.85	2503.85	80	0	11
2024.08.19	23:40:00	2503.84	2503.95	2503.36	2503.47	89	0	8
2024.08.19	23:45:00	2503.46	2504.05	2503.37	2504.00	99	0	13
2024.08.19	23:50:00	2504.01	2504.51	2503.90	2504.25	136	0	19
2024.08.19	23:55:00	2504.18	2504.33	2503.81	2503.85	142	0	17
2024.08.20	01:00:00	2503.34	2504.02	2503.05	2503.68	187	0	20
2024.08.20	01:05:00	2503.69	2504.11	2503.68	2504.11	87	0	20
2024.08.20	01:10:00	2504.11	2504.32	2504.07	2504.16	57	0	20
2024.08.20	01:15:00	2504.15	2504.16	2503.58	2503.59	85	0	20
2024.08.20	01:20:00	2503.59	2503.75	2503.19	2503.19	116	0	21
2024.08.20	01:25:00	2503.17	2503.23	2502.09	2502.31	349	0	21
2024.08.20	01:30:00	2502.32	2503.60	2502.32	2503.32	135	0	15
2024.08.20	01:35:00	2503.32	2503.35	2502.84	2503.35	75	0	14
2024.08.20	01:40:00	2503.34	2503.53	2502.82	2502.89	112	0	15
2024.08.20	01:45:00	2502.87	2503.77	2502.79	2503.74	99	0	14
2024.08.20	01:50:00	2503.73	2504.47	2503.73	2504.46	81	0	13
2024.08.20	01:55:00	2504.46	2504.61	2504.04	2504.35	172	0	14
2024.08.20	02:00:00	2504.34	2504.34	2504.00	2504.12	189	0	14
2024.08.20	02:05:00	2504.13	2504.29	2503.97	2503.97	157	0	13
2024.08.20	02:10:00	2503.97	2504.08	2503.25	2503.32	162	0	13
2024.08.20	02:15:00	2503.31	2503.46	2503.12	2503.29	170	0	13
2024.08.20	02:20:00	2503.31	2503.33	2502.53	2502.84	164	0	13
2024.08.20	02:25:00	2502.84	2503.26	2502.66	2503.25	105	0	13
2024.08.20	02:30:00	2503.26	2503.71	2502.87	2502.87	169	0	13
2024.08.20	02:35:00	2502.83	2503.65	2502.51	2503.54	267	0	15
2024.08.20	02:40:00	2503.55	2503.73	2503.25	2503.54	219	0	13
2024.08.20	02:45:00	2503.54	2503.73	2503.15	2503.30	156	0	13
2024.08.20	02:50:00	2503.31	2503.68	2502.89	2503.05	206	0	13
2024.08.20	02:55:00	2503.03	2503.86	2502.93	2503.66	192	0	13
2024.08.20	03:00:00	2503.68	2504.75	2503.68	2504.43	556	0	14
2024.08.20	03:05:00	2504.41	2504.78	2504.26	2504.55	610	0	13
2024.08.20	03:10:00	2504.55	2504.62	2503.89	2504.07	410	0	13
2024.08.20	03:15:00	2504.13	2504.76	2503.35	2504.57	706	0	14
2024.08.20	03:20:00	2504.59	2504.83	2504.11	2504.25	609	0	18
2024.08.20	03:25:00	2504.26	2504.74	2504.13	2504.25	456	0	13
2024.08.20	03:30:00	2504.27	2505.65	2504.27	2505.31	363	0	13
2024.08.20	03:35:00	2505.34	2506.71	2505.18	2506.51	468	0	13
2024.08.20	03:40:00	2506.55	2506.83	2505.47	2506.09	467	0	13
2024.08.20	03:45:00	2506.10	2506.31	2505.53	2505.91	520	0	13
2024.08.20	03:50:00	2505.96	2506.34	2505.67	2505.70	534	0	13
2024.08.20	03:55:00	2505.71	2506.37	2504.93	2504.95	461	0	13
2024.08.20	04:00:00	2504.92	2506.89	2504.65	2506.83	1280	0	19
2024.08.20	04:05:00	2506.74	2508.23	2504.32	2505.04	1366	0	17
2024.08.20	04:10:00	2505.02	2505.36	2501.77	2502.93	1276	0	15
2024.08.20	04:15:00	2502.91	2504.52	2502.91	2503.90	1300	0	14
2024.08.20	04:20:00	2503.89	2505.80	2503.53	2505.61	1229	0	13
2024.08.20	04:25:00	2505.60	2506.18	2504.46	2504.60	712	0	13
2024.08.20	04:30:00	2504.60	2504.79	2502.95	2504.12	1159	0	14
2024.08.20	04:35:00	2504.11	2504.31	2502.96	2503.63	1252	0	15
2024.08.20	04:40:00	2503.62	2505.46	2503.55	2505.01	1304	0	13
2024.08.20	04:45:00	2505.00	2505.32	2504.02	2504.64	804	0	13
2024.08.20	04:50:00	2504.64	2505.22	2501.57	2502.35	1042	0	13
2024.08.20	04:55:00	2502.37	2503.23	2501.32	2501.98	1132	0	14
2024.08.20	05:00:00	2501.97	2502.43	2500.55	2500.85	1142	0	14
2024.08.20	05:05:00	2500.86	2500.94	2499.15	2499.92	906	0	13
2024.08.20	05:10:00	2500.03	2500.22	2498.73	2500.18	957	0	13
2024.08.20	05:15:00	2500.15	2500.94	2500.13	2500.93	437	0	13
2024.08.20	05:20:00	2500.94	2501.32	2500.74	2500.98	410	0	13
2024.08.20	05:25:00	2500.96	2501.18	2500.48	2500.60	396	0	13
2024.08.20	05:30:00	2500.63	2501.21	2499.62	2500.06	849	0	14
2024.08.20	05:35:00	2500.05	2500.35	2499.01	2500.17	1018	0	13
2024.08.20	05:40:00	2500.19	2501.81	2500.17	2500.53	1279	0	19
2024.08.20	05:45:00	2500.55	2501.55	2499.28	2500.00	1128	0	13
2024.08.20	05:50:00	2500.00	2500.26	2498.78	2500.23	888	0	13
2024.08.20	05:55:00	2500.24	2500.54	2499.26	2499.64	899	0	13
2024.08.20	06:00:00	2499.64	2500.19	2499.35	2499.77	953	0	13
2024.08.20	06:05:00	2499.79	2500.70	2499.20	2499.89	608	0	13
2024.08.20	06:10:00	2499.87	2499.95	2499.13	2499.46	683	0	13
2024.08.20	06:15:00	2499.47	2500.26	2499.47	2499.72	616	0	13
2024.08.20	06:20:00	2499.74	2500.46	2499.37	2500.19	696	0	13
2024.08.20	06:25:00	2500.20	2501.44	2500.17	2501.23	759	0	13
2024.08.20	06:30:00	2501.17	2501.59	2500.75	2500.95	570	0	13
2024.08.20	06:35:00	2500.97	2500.97	2500.39	2500.67	313	0	13
2024.08.20	06:40:00	2500.67	2500.88	2500.20	2500.20	309	0	13
2024.08.20	06:45:00	2500.23	2501.71	2500.23	2501.68	323	0	13
2024.08.20	06:50:00	2501.68	2502.40	2501.61	2501.96	482	0	14
2024.08.20	06:55:00	2501.95	2502.23	2501.63	2501.80	303	0	13
2024.08.20	07:00:00	2501.81	2502.42	2501.35	2502.09	329	0	13
2024.08.20	07:05:00	2502.07	2502.27	2501.78	2501.80	255	0	13
2024.08.20	07:10:00	2501.79	2502.10	2501.53	2501.58	302	0	13
2024.08.20	07:15:00	2501.54	2501.59	2501.20	2501.20	293	0	13
2024.08.20	07:20:00	2501.19	2501.29	2500.45	2500.47	342	0	13
